"Name","test_f1","entity_name","Created","Runtime","overall_eer_weight","seed","entity_removal_rate","self_training_begin_step","self_training_loss_weight","prior_loss_weight","entity_ratio","State","Notes","User","Tags","Sweep","adam_beta1","adam_beta2","adam_epsilon","cache_dir","confidence_test","config_name","data_cahce_index","data_dir","dataset","dev_file","dev_instances","device","do_eval","do_lower_case","do_predict","do_remove_entity","do_train","eval_all_checkpoints","evaluate_during_training","evaluation_method","false_positive_rate","fp16","fp16_opt_level","gradient_accumulation_steps","label_index","label_map.0","label_map.1","label_map.2","label_map.3","label_map.4","label_map.5","labels","learning_rate","load_big_file","load_weak","local_rank","logging_steps","max_grad_norm","max_seq_length","model_name_or_path","model_type","mt","mt_alpha1","mt_alpha2","mt_avg","mt_beta","mt_class","mt_lambda","mt_loss_type","mt_rampup","mt_updatefreq","n_gpu","no_cuda","not_record_to_csv","num_train_epochs","number_of_annotations","number_of_removal_annotations","number_of_removal_surfaceforms","output_dir","overwrite_output_dir","per_gpu_eval_batch_size","per_gpu_train_batch_size","project_name","remove_labels_from_weak","rep_train_against_weak","save_steps","self_training_ensemble_label","self_training_hp_label","self_training_hp_label_category","self_training_label_mode","self_training_period","self_training_reinit","server_ip","server_port","shuffle_data","sweep_file","sweep_method","sweep_round","test_file","test_instances","tokenizer_name","train_file","train_instances","update_every_period","update_scheme","vat","vat_beta","vat_eps","vat_lambda","vat_loss_type","visible_device","vocab_dir","warmup_steps","weight_decay","whether_category_oriented","whether_self_training","write_examples_to_file","best_dev_f1","best_dev_precision","best_dev_recall","dev_eval_loss","dev_f1","dev_precision","dev_recall","epoch","lr","student_loss","test_eval_loss","test_precision","test_recall","train_loss","training/_tags/B-Chemical_f1","training/_tags/B-Chemical_precision","training/_tags/B-Chemical_recall","training/_tags/B-Disease_f1","training/_tags/B-Disease_precision","training/_tags/B-Disease_recall","training/_tags/B-Gene_f1","training/_tags/B-Gene_precision","training/_tags/B-Gene_recall","training/_tags/I-Chemical_f1","training/_tags/I-Chemical_precision","training/_tags/I-Chemical_recall","training/_tags/I-Disease_f1","training/_tags/I-Disease_precision","training/_tags/I-Disease_recall","training/_tags/I-Gene_f1","training/_tags/I-Gene_precision","training/_tags/I-Gene_recall","training/_tags/L-Chemical_f1","training/_tags/L-Chemical_precision","training/_tags/L-Chemical_recall","training/_tags/L-Disease_f1","training/_tags/L-Disease_precision","training/_tags/L-Disease_recall","training/_tags/L-Gene_f1","training/_tags/L-Gene_precision","training/_tags/L-Gene_recall","training/_tags/O_f1","training/_tags/O_precision","training/_tags/O_recall","training/_tags/U-Chemical_f1","training/_tags/U-Chemical_precision","training/_tags/U-Chemical_recall","training/_tags/U-Disease_f1","training/_tags/U-Disease_precision","training/_tags/U-Disease_recall","training/_tags/U-Gene_f1","training/_tags/U-Gene_precision","training/_tags/U-Gene_recall","training/_tags/__f1","training/_tags/__precision","training/_tags/__recall","training/f1-measure-Disease","training/f1-measure-overall","training/loss/marginal_nll","training/loss/prior_er_margin","training/loss/self_training_loss","training/precision-Disease","training/precision-overall","training/pred_entity_ratio","training/recall-Disease","training/recall-overall","training/self_training_entity_ratio","validation_loss","training/f1-measure-Chemical","training/f1-measure-Gene","training/precision-Chemical","training/precision-Gene","training/recall-Chemical","training/recall-Gene","entity_removal_method","entity_ratio_margin","training/_tags/B-Species_f1","training/_tags/B-Species_precision","training/_tags/B-Species_recall","training/_tags/I-Species_f1","training/_tags/I-Species_precision","training/_tags/I-Species_recall","training/_tags/L-Species_f1","training/_tags/L-Species_precision","training/_tags/L-Species_recall","training/_tags/U-Species_f1","training/_tags/U-Species_precision","training/_tags/U-Species_recall","training/f1-measure-Species","training/precision-Species","training/recall-Species","training/_tags/B-CellLine_f1","training/_tags/B-CellLine_precision","training/_tags/B-CellLine_recall","training/_tags/I-CellLine_f1","training/_tags/I-CellLine_precision","training/_tags/I-CellLine_recall","training/_tags/L-CellLine_f1","training/_tags/L-CellLine_precision","training/_tags/L-CellLine_recall","training/_tags/U-CellLine_f1","training/_tags/U-CellLine_precision","training/_tags/U-CellLine_recall","training/f1-measure-CellLine","training/precision-CellLine","training/recall-CellLine"
"proud-silence-435","0.8417491222470476","Disease","2023-03-17T01:36:06.000Z","4697","7","10","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_annotations_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8386702019171934","0.8009349435138293","0.8801369863013698","3.361945954517292","0.8368822820409804","0.7884178652535958","0.891695205479452","15","0.00003490566037735849","0.2645153208347119","2.884316484153325","0.8072731725235704","0.879301146972526","0.34654887835374726","","","","0.862817108631134","0.7941389083862305","0.944498598575592","","","","","","","0.8768501281738281","0.809112548828125","0.9569658637046814","","","","","","","0.8940905332565308","0.8320350646972656","0.966148555278778","","","","0.8873454928398132","0.8023172616958618","0.9925325512886048","","","","0.8887956738471985","0.8413310050964355","0.9419361352920532","","","","0","0","0","0.7994435697415949","0.7994435697415949","1.161939195752701","0.35813658370731694","0.008711506942248105","0.7382730532194373","0.7382730532194373","0.07931854926725275","0.8716665691266264","0.8716665691266264","0.07294993668292955","3.361945954517292","","","","","","","remove_annotations_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"atomic-snowball-440","0.8409382209689824","Disease","2023-03-17T04:29:52.000Z","3231","7","30","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_annotations_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8379979570990808","0.8014849550605705","0.8779965753424658","3.531817718605084","0.8253465346534653","0.7678703021370671","0.8921232876712328","11","0.00003867924528301887","0.3362094058752734","2.815888408038804","0.8094004441154701","0.8750333422245933","0.17696596949259186","","","","0.8412700295448303","0.7594901919364929","0.9427866339683532","","","","","","","0.8561834692955017","0.7748307585716248","0.9566233158111572","","","","","","","0.8776206970214844","0.8061813712120056","0.962952196598053","","","","0.8353419899940491","0.7213801145553589","0.9920661449432372","","","","0.8700738549232483","0.8137044310569763","0.9348345398902892","","","","0","0","0","0.7923697405711299","0.7923697405711299","1.0350255131641843","0.4219694789485474","0.011361672014040668","0.7325459529184134","0.7325459529184134","0.08191427258905833","0.8628335390751116","0.8628335390751116","0.07311732915146156","3.531817718605084","","","","","","","remove_annotations_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desert-forest-437","0.8366045755719466","Disease","2023-03-17T02:54:30.000Z","5716","7","20","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","14227","1423","918","output/Disease/remove_annotations_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8371907422186752","0.7840059790732437","0.8981164383561644","3.7834196820634793","0.8328679696848824","0.7796863330843914","0.8938356164383562","17","0.00003207547169811321","0.27613523974414533","3.710491079918525","0.7872941176470588","0.892504667911443","0.19221771397417625","","","","0.8665398359298706","0.7991868853569031","0.9462901949882508","","","","","","","0.8696144819259644","0.7949305176734924","0.9597866535186768","","","","","","","0.8974424600601196","0.8358697891235352","0.9688078761100768","","","","0.907781720161438","0.8372005224227905","0.9913594722747804","","","","0.8956966996192932","0.8526999950408936","0.9432597756385804","","","","0","0","0","0.7914839638650789","0.7914839638650789","1.3948552539647066","0.3775912034968859","0.007559980856277331","0.7229818177263077","0.7229818177263077","0.08105797076920576","0.8743258801430043","0.8743258801430043","0.07535543406729701","3.7834196820634793","","","","","","","remove_annotations_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peachy-spaceship-433","0.8362562071783268","Disease","2023-03-17T00:12:09.000Z","5030","7","0","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_annotations_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8310959727509517","0.7811676082862523","0.8878424657534246","3.5913825654325873","0.8274071114662405","0.7756554307116105","0.8865582191780822","16","0.0000339622641509434","0.2608007213307269","3.866683722437988","0.7908690999881108","0.8871699119765271","0.16988673096243076","","","","0.858965277671814","0.7877878546714783","0.9442821145057678","","","","","","","0.8730394244194031","0.8015245199203491","0.9585661292076112","","","","","","","0.8921155333518982","0.8274793028831482","0.967705249786377","","","","0.8950671553611755","0.815767228603363","0.9914444088935852","","","","0.8890799880027771","0.8421751260757446","0.9415175318717957","","","","0","0","0","0.785719460656018","0.785719460656018","1.327036804760271","0.3737019062955699","0.007497343103447191","0.7171954678384058","0.7171954678384058","0.08001479805034348","0.8687208515789099","0.8687208515789099","0.07345911039286498","3.5913825654325873","","","","","","","remove_annotations_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"visionary-water-403","0.8358648977760688","Disease","2023-03-16T13:30:22.000Z","3386","7","10","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_surfaceforms_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8418891170431212","0.8089976322020521","0.877568493150685","2.870664076388861","0.8404558404558405","0.8010085337470908","0.8839897260273972","12","0.000037735849056603776","0.3062481279273902","2.9635380914573055","0.8045650832819248","0.8696985862896772","0.307430250006948","","","","0.8553248047828674","0.7822754979133606","0.9434221386909484","","","","","","","0.8750373125076294","0.8064488768577576","0.9563771486282348","","","","","","","0.8882582783699036","0.8224997520446777","0.9654451608657836","","","","0.8531662821769714","0.7479262948036194","0.9928722381591796","","","","0.8739997744560242","0.8249647617340088","0.9292322993278505","","","","0","0","0","0.7999008024824318","0.7999008024824318","1.0745714979945382","0.37849544001646784","0.009776591853668751","0.7466228247192612","0.7466228247192612","0.08001513853274658","0.8613667488359353","0.8613667488359353","0.07234333034544176","2.870664076388861","","","","","","","remove_surfaceforms_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"morning-river-401","0.8345760141539239","Disease","2023-03-16T12:22:40.000Z","4055","7","0","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_surfaceforms_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8336365474024662","0.7897357334354653","0.8827054794520548","3.467096519544607","0.8276836158192091","0.7828244274809161","0.8779965753424658","14","0.000035849056603773584","0.2898371590464535","3.2322850725715693","0.7929875120076849","0.8807682048546279","0.1897159092892131","","","","0.8561643958091736","0.7834068536758423","0.9438199996948242","","","","","","","0.8722546100616455","0.800176739692688","0.9586030840873718","","","","","","","0.89093017578125","0.8255701065063477","0.9675291180610656","","","","0.877443790435791","0.7868645787239075","0.9915897250175476","","","","0.8748232126235962","0.8241323828697205","0.9321587085723876","","","","0","0","0","0.7835932156686656","0.7835932156686656","1.2647587194866006","0.3866202561765468","0.009316240844724176","0.7203039486182098","0.7203039486182098","0.08048446220769123","0.8590756084930088","0.8590756084930088","0.07303470087137905","3.467096519544607","","","","","","","remove_surfaceforms_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wandering-flower-442","0.8317757009345795","Disease","2023-03-17T05:23:50.000Z","4285","7","40","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_annotations_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8292585967004573","0.7740259740259741","0.8929794520547946","4.049691169405429","0.8107355864811132","0.7568671121009651","0.8728595890410958","14","0.000035849056603773584","0.310476814381002","3.2241176283877615","0.7805191768007483","0.8902373966391037","0.27649828963847944","","","","0.8495937585830688","0.7714215517044067","0.9453957676887512","","","","","","","0.8620685338973999","0.781683623790741","0.9608813524246216","","","","","","","0.8868676424026489","0.8184915781021118","0.967709183692932","","","","0.8771370053291321","0.7865172624588013","0.9913578629493712","","","","0.8785682320594788","0.8283974528312683","0.9352077841758728","","","","0","0","0","0.7876651722510122","0.7876651722510122","1.2847305670108975","0.40878420035964574","0.011043374476072428","0.7234774599046381","0.7234774599046381","0.08273796901620667","0.8643513723459347","0.8643513723459347","0.07570191495888703","4.049691169405429","","","","","","","remove_annotations_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mild-mountain-406","0.8296062992125985","Disease","2023-03-16T14:26:55.000Z","3746","7","20","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","14227","1430","98","output/Disease/remove_surfaceforms_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8261390887290169","0.7747376311844077","0.884845890410959","3.341878064365507","0.8241648329665934","0.7735636500187758","0.8818493150684932","13","0.00003679245283018868","0.32466348904714776","3.158116634405878","0.7860809358959054","0.8782341957855428","0.41622284197621934","","","","0.8473057150840759","0.7677618861198425","0.9452367424964904","","","","","","","0.8476296663284302","0.7568308115005493","0.9631853699684144","","","","","","","0.8802405595779419","0.8076850175857544","0.967118203639984","","","","0.8650107979774475","0.7682949900627136","0.989583134651184","","","","0.8679563999176025","0.8141632080078125","0.9293609261512756","","","","0","0","0","0.773815830729427","0.773815830729427","1.4388672970871077","0.4354726304187022","0.011042121391706128","0.70079703900987","0.70079703900987","0.08439631174763242","0.8638206966471143","0.8638206966471143","0.07608362990074083","3.341878064365507","","","","","","","remove_surfaceforms_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fast-cherry-408","0.829507778627901","Disease","2023-03-16T15:29:27.000Z","4378","7","30","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_surfaceforms_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8359120521172638","0.796972049689441","0.8788527397260274","3.663351343133915","0.8223922674184455","0.776425855513308","0.8741438356164384","15","0.00003490566037735849","0.2841176169068092","3.4768626239464933","0.7946494014170535","0.8675646839157108","0.19884194116934056","","","","0.8660375475883484","0.7976192831993103","0.9472945928573608","","","","","","","0.8829493522644043","0.8183751702308655","0.9585869312286376","","","","","","","0.8973968029022217","0.8366503715515137","0.9676550030708312","","","","0.8867337107658386","0.8014734983444214","0.9922930598258972","","","","0.8762298226356506","0.8269121050834656","0.9318034052848816","","","","0","0","0","0.7978683729268485","0.7978683729268485","1.2533440879931597","0.38544998850738293","0.008916131477528426","0.7396755838075164","0.7396755838075164","0.08125649445154765","0.865999492791791","0.865999492791791","0.07527355918553984","3.663351343133915","","","","","","","remove_surfaceforms_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"avid-serenity-411","0.8244421646576046","Disease","2023-03-16T16:42:31.000Z","4723","7","40","0.1","500","5","10","0.01","finished","-","possible961","","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Disease","self","dev_BIOUL.txt","2754","cuda","false","false","false","false","true","false","true","seqeval","0","false","O1","1","1","_","O","B-Disease","I-Disease","U-Disease","L-Disease","labels/Disease.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","50","","","","output/Disease/remove_surfaceforms_randomly/0.1/begin500_period100_epoch50.0_LR5e-05","true","160","160","BOND_coca_partial13","false","1","10000","0","-1","-1","hard","100","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","8738","","train_BIOUL.txt","16895","false","update_all","0","1","0.001","1","logits","0","data/Disease/pubmedbert-entity.vocab","0","0","false","false","false","0.8265742816384757","0.7887981330221704","0.8681506849315068","3.764435014620262","0.8180347755762231","0.775095785440613","0.8660102739726028","16","0.0000339622641509434","0.25976331306881206","3.0135259704544177","0.7938997283279822","0.8574286476393705","0.17843630752005862","","","","0.8628332614898682","0.7926999926567078","0.9465811252593994","","","","","","","0.8746880292892456","0.8039306998252869","0.959102749824524","","","","","","","0.8963514566421509","0.8345723748207092","0.9680082201957704","","","","0.8952987790107727","0.8156828880310059","0.9921377301216124","","","","0.8791067004203796","0.8404158353805542","0.9215319156646729","","","","0","0","0","0.7898415580128237","0.7898415580128237","1.2635283624505291","0.378651767203339","0.008029094442812178","0.7362311928863727","0.7362311928863727","0.08016614698280423","0.851872619174766","0.851872619174766","0.07403656306231489","3.764435014620262","","","","","","","remove_surfaceforms_randomly","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
