"Name","test_f1","entity_name","entity_removal_method","entity_removal_rate","entity_ratio","self_training_begin_step","seed","prior_loss_weight","overall_eer_weight","self_training_loss_weight","Runtime","State","Notes","User","Tags","Created","Sweep","adam_beta1","adam_beta2","adam_epsilon","cache_dir","confidence_test","config_name","data_cahce_index","data_dir","dataset","dev_file","dev_instances","device","do_eval","do_lower_case","do_predict","do_remove_entity","do_train","entity_ratio_margin","eval_all_checkpoints","evaluate_during_training","evaluation_method","false_positive_rate","fp16","fp16_opt_level","gradient_accumulation_steps","label_index","label_map.0","label_map.1","label_map.2","label_map.3","label_map.4","label_map.5","labels","learning_rate","load_big_file","load_weak","local_rank","logging_steps","max_grad_norm","max_seq_length","model_name_or_path","model_type","mt","mt_alpha1","mt_alpha2","mt_avg","mt_beta","mt_class","mt_lambda","mt_loss_type","mt_rampup","mt_updatefreq","n_gpu","no_cuda","not_record_to_csv","num_train_epochs","output_dir","overwrite_output_dir","per_gpu_eval_batch_size","per_gpu_train_batch_size","project_name","remove_labels_from_weak","rep_train_against_weak","save_steps","self_training_ensemble_label","self_training_hp_label","self_training_hp_label_category","self_training_label_mode","self_training_period","self_training_reinit","server_ip","server_port","shuffle_data","sweep_file","sweep_method","sweep_round","test_file","test_instances","tokenizer_name","train_file","train_instances","update_every_period","update_scheme","vat","vat_beta","vat_eps","vat_lambda","vat_loss_type","visible_device","vocab_dir","warmup_steps","weight_decay","whether_category_oriented","whether_self_training","write_examples_to_file","number_of_annotations","number_of_removal_annotations","number_of_removal_surfaceforms","best_dev_f1","best_dev_precision","best_dev_recall","dev_eval_loss","dev_f1","dev_precision","dev_recall","epoch","lr","student_loss","test_eval_loss","test_precision","test_recall","train_loss","training/_tags/B-Chemical_f1","training/_tags/B-Chemical_precision","training/_tags/B-Chemical_recall","training/_tags/B-Disease_f1","training/_tags/B-Disease_precision","training/_tags/B-Disease_recall","training/_tags/B-Gene_f1","training/_tags/B-Gene_precision","training/_tags/B-Gene_recall","training/_tags/I-Chemical_f1","training/_tags/I-Chemical_precision","training/_tags/I-Chemical_recall","training/_tags/I-Disease_f1","training/_tags/I-Disease_precision","training/_tags/I-Disease_recall","training/_tags/I-Gene_f1","training/_tags/I-Gene_precision","training/_tags/I-Gene_recall","training/_tags/L-Chemical_f1","training/_tags/L-Chemical_precision","training/_tags/L-Chemical_recall","training/_tags/L-Disease_f1","training/_tags/L-Disease_precision","training/_tags/L-Disease_recall","training/_tags/L-Gene_f1","training/_tags/L-Gene_precision","training/_tags/L-Gene_recall","training/_tags/O_f1","training/_tags/O_precision","training/_tags/O_recall","training/_tags/U-Chemical_f1","training/_tags/U-Chemical_precision","training/_tags/U-Chemical_recall","training/_tags/U-Disease_f1","training/_tags/U-Disease_precision","training/_tags/U-Disease_recall","training/_tags/U-Gene_f1","training/_tags/U-Gene_precision","training/_tags/U-Gene_recall","training/_tags/__f1","training/_tags/__precision","training/_tags/__recall","training/f1-measure-Disease","training/f1-measure-Gene","training/f1-measure-overall","training/loss/marginal_nll","training/loss/prior_er_margin","training/loss/self_training_loss","training/precision-Disease","training/precision-Gene","training/precision-overall","training/pred_entity_ratio","training/recall-Disease","training/recall-Gene","training/recall-overall","training/self_training_entity_ratio","validation_loss","training/f1-measure-Chemical","training/precision-Chemical","training/recall-Chemical","training/_tags/B-Species_f1","training/_tags/B-Species_precision","training/_tags/B-Species_recall","training/_tags/I-Species_f1","training/_tags/I-Species_precision","training/_tags/I-Species_recall","training/_tags/L-Species_f1","training/_tags/L-Species_precision","training/_tags/L-Species_recall","training/_tags/U-Species_f1","training/_tags/U-Species_precision","training/_tags/U-Species_recall","training/f1-measure-Species","training/precision-Species","training/recall-Species","training/_tags/B-CellLine_f1","training/_tags/B-CellLine_precision","training/_tags/B-CellLine_recall","training/_tags/I-CellLine_f1","training/_tags/I-CellLine_precision","training/_tags/I-CellLine_recall","training/_tags/L-CellLine_f1","training/_tags/L-CellLine_precision","training/_tags/L-CellLine_recall","training/_tags/U-CellLine_f1","training/_tags/U-CellLine_precision","training/_tags/U-CellLine_recall","training/f1-measure-CellLine","training/precision-CellLine","training/recall-CellLine"
"balmy-pyramid-556","0.8460791351716566","Chemical","remove_annotations_randomly","0.1","0.01","500","0","10","8","5","16955","finished","-","possible961","","2023-03-21T16:00:30.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_annotations_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed0","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","","","","0.8448352568632069","0.7766817438167645","0.9261001778644788","5.749692742092793","0.8339255608870445","0.7609580611568683","0.9223707613747204","5","0.000035507246376811596","0.8939550127705774","3.832164201630361","0.7791015989547688","0.9256555725980818","0.7877985913537701","0.8642200827598572","0.7879260778427124","0.9568732380867004","","","","","","","0.921319544315338","0.8670362830162048","0.9828538298606871","","","","","","","0.855560302734375","0.7751181721687317","0.954632580280304","","","","","","","0.917591154575348","0.8601646423339844","0.9832341074943542","0.8001672029495239","0.6968680620193481","0.9394208192825316","","","","","","","0","0","0","","","0.7921514926549573","2.7734001987640045","0.9159580391964344","0.02152898373443284","","","0.6990816868284588","0.1282580807647666","","","0.9138081596575116","0.11988547611117256","5.749692742092793","0.7921514926549573","0.6990816868284588","0.9138081596575116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"stellar-hill-592","0.8347117262460729","Chemical","remove_surfaceforms_randomly","0.1","0.01","500","20","10","8","5","15014","finished","-","possible961","","2023-03-22T01:39:22.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_surfaceforms_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed20","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","114579","11440","215","0.8363703391615759","0.7729108872341461","0.911182511905445","5.836562286021923","0.8237871835850905","0.7479054528434356","0.9168053244592346","5","0.000037318840579710144","0.9356744166937346","4.983700700472637","0.7721381780479759","0.9083214754310424","0.8790027945142335","0.8534536361694336","0.7722929120063782","0.9536760449409484","","","","","","","0.9176779985427856","0.8592022657394409","0.9846944212913512","","","","","","","0.8449022173881531","0.7593651413917542","0.9521559476852416","","","","","","","0.9023333787918092","0.8344779014587402","0.9822009801864624","0.781317949295044","0.6753069162368774","0.9268105030059814","","","","","","","0","0","0","","","0.7841308527325976","2.965085723149819","0.953232110670314","0.02350010218158845","","","0.6922303011369267","0.13018638125324208","","","0.9041683120530034","0.1198515927831376","5.836562286021923","0.7841308527325976","0.6922303011369267","0.9041683120530034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"frosty-lion-583","0.8346966110404435","Chemical","remove_surfaceforms_randomly","0.1","0.01","500","10","10","8","5","16169","finished","-","possible961","","2023-03-21T21:09:45.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_surfaceforms_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed10","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","","","","0.8357678538765058","0.7673704414587332","0.9175512077571863","5.5037791953392174","0.8238804434498547","0.7466896680343156","0.9188708474381776","5","0.00003641304347826087","0.9156390613797908","4.727509973195727","0.7669669948603629","0.9155470958919298","0.9940607033612164","0.8610816597938538","0.784003734588623","0.9549675583839417","","","","","","","0.9228630065917968","0.8686859607696533","0.984247386455536","","","","","","","0.8538273572921753","0.7733728885650635","0.952964961528778","","","","","","","0.910020649433136","0.8477699756622314","0.9821377992630004","0.7846038341522217","0.6801365613937378","0.9269866943359376","","","","","","","0","0","0","","","0.7829471251524573","2.9628876745323156","0.929533225722202","0.0191158074158448","","","0.6901550541918816","0.1293430007349649","","","0.9045671237714084","0.1204257225832185","5.5037791953392174","0.7829471251524573","0.6901550541918816","0.9045671237714084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"major-eon-576","0.8256717597471023","Chemical","remove_annotations_randomly","0.1","0.01","500","10","10","8","5","15770","finished","-","possible961","","2023-03-21T20:43:56.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_annotations_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed10","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","114579","11458","6235","0.8252300945873595","0.7425897035881436","0.9285673303115496","6.227190247449863","0.8160826821275522","0.7278000089924014","0.9287394572264616","5","0.00003641304347826087","0.9344052326077394","5.222617781750278","0.7444884870618625","0.926727403766193","0.9729563047918114","0.8594225645065308","0.7801364660263062","0.9566477537155152","","","","","","","0.9179295301437378","0.8618006110191345","0.98187917470932","","","","","","","0.8537611365318298","0.7713912725448608","0.9558249711990356","","","","","","","0.908667802810669","0.8447781801223755","0.9830119013786316","0.7973029613494873","0.6913267970085144","0.941652774810791","","","","","","","0","0","0","","","0.7911266256196927","2.839169474473701","0.9221632091556224","0.019398723860402724","","","0.6952434458598821","0.1295334331885674","","","0.9176877954995782","0.12208261526561714","6.227190247449863","0.7911266256196927","0.6952434458598821","0.9176877954995782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true-monkey-564","0.8242214532871973","Chemical","remove_surfaceforms_randomly","0.1","0.01","500","0","10","8","5","10495","finished","-","possible961","","2023-03-21T16:26:54.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_surfaceforms_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed0","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","","","","0.8199473423529106","0.7513376648194152","0.9023466636066326","4.423046543929536","0.8187755314443317","0.7490954103980194","0.9027482930747605","3","0.00004003623188405797","1.2227486059023909","4.758150876275361","0.7585162402721469","0.9023894443109788","1.2622803940886071","0.8459230661392212","0.7631906867027283","0.9487730860710144","","","","","","","0.9138570427894592","0.8543355464935303","0.9822932481765748","","","","","","","0.8356334567070007","0.7480555176734924","0.9464367032051086","","","","","","","0.8575595617294312","0.7618069052696228","0.9808433055877686","0.7482631802558899","0.637867271900177","0.904869258403778","","","","","","","0","0","0","","","0.7680233512296417","2.8315083604719904","0.9807756893201152","0.010641397152699296","","","0.6739981379845998","0.1328156818961759","","","0.892535300488383","0.12453970160080316","4.423046543929536","0.7680233512296417","0.6739981379845998","0.892535300488383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rose-dawn-603","0.8182721282161661","Chemical","remove_annotations_randomly","0.1","0.01","500","40","10","8","5","13431","finished","-","possible961","","2023-03-22T10:37:13.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_annotations_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed40","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","","","","0.8134343641204177","0.7343656112780217","0.9115841413735728","5.331720993874843","0.7915130989142345","0.6992563910766929","0.9118136439267888","4","0.00003822463768115942","1.3051422032421534","3.5471960588280695","0.7411484186374339","0.9133110343170772","1.2304223838194916","0.8187103271484375","0.7222937941551208","0.9448330402374268","","","","","","","0.8974338173866272","0.8279856443405151","0.9795986413955688","","","","","","","0.8089538812637329","0.7088316082954407","0.942012906074524","","","","","","","0.8878478407859802","0.8145924210548401","0.9755807518959044","0.7227246165275574","0.5976141691207886","0.914089024066925","","","","","","","0","0","0","","","0.7221940769548428","3.7096495013635473","1.0501351819579696","0.026216936788436614","","","0.6045571823279248","0.13731410036109917","","","0.8966716468505568","0.12418489962890836","5.331720993874843","0.7221940769548428","0.6045571823279248","0.8966716468505568","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"daily-deluge-585","0.8144125049675452","Chemical","remove_annotations_randomly","0.1","0.01","500","20","10","8","5","13342","finished","-","possible961","","2023-03-22T01:06:54.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_annotations_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed20","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","114579","11458","6191","0.8106472458713715","0.732878935410581","0.9068793390326468","5.597619585342828","0.7875819455956596","0.7004110078627591","0.8995352573297378","4","0.00003822463768115942","1.2704819149585","4.012045986639001","0.7377120487168334","0.9089128305582762","1.034764026070075","0.8198208212852478","0.7238177061080933","0.9451850056648254","","","","","","","0.8942322731018066","0.8229956030845642","0.9789697527885436","","","","","","","0.8080865144729614","0.7096725106239319","0.9381903409957886","","","","","","","0.885813295841217","0.8117471933364868","0.9747524261474608","0.7383689284324646","0.6210103034973145","0.910420298576355","","","","","","","0","0","0","","","0.723102637616943","4.011111443167035","1.0518907450642991","0.01983463074149417","","","0.6061681111997512","0.13917393621292376","","","0.8959355483387459","0.12803951758094068","5.597619585342828","0.723102637616943","0.6061681111997512","0.8959355483387459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"effortless-smoke-600","0.8011682695410831","Chemical","remove_surfaceforms_randomly","0.1","0.01","500","30","10","8","5","12928","finished","-","possible961","","2023-03-22T06:33:21.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_surfaceforms_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed30","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","114579","11627","201","0.800510996443064","0.7103987907348953","0.9168053244592346","7.052959883136549","0.7768048258416034","0.6742389055440612","0.9161741924378908","4","0.00003822463768115942","1.002881901793587","6.147707149072606","0.7110022769257207","0.9175244395986176","0.8902419634357928","0.8416266441345215","0.752406895160675","0.9548521637916564","","","","","","","0.9141964912414552","0.8530822396278381","0.9847428202629088","","","","","","","0.8337664008140564","0.7407641410827637","0.953474223613739","","","","","","","0.8806244134902954","0.800849199295044","0.9780512452125548","0.7390178442001343","0.6140601634979248","0.9278245568275452","","","","","","","0","0","0","","","0.7490191115048243","3.4327424738465964","1.016397154684785","0.014045764977702211","","","0.6386185259855451","0.13722703485598897","","","0.9055684108382474","0.13162906344826142","7.052959883136549","0.7490191115048243","0.6386185259855451","0.9055684108382474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"unique-frog-593","0.7974683544303797","Chemical","remove_annotations_randomly","0.1","0.01","500","30","10","8","5","11888","finished","-","possible961","","2023-03-22T06:29:33.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_annotations_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed30","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","114579","11458","6314","0.7950909818036392","0.7044156074228265","0.9125595272247404","6.8781245605717505","0.7895559802437269","0.6957396553232438","0.9126169028630444","4","0.0000391304347826087","1.1515826958175557","5.24493666451351","0.7080376725583796","0.9127566388852956","0.9764876792603924","0.8333667516708374","0.7407863140106201","0.952392876148224","","","","","","","0.9025664925575256","0.8339402675628662","0.9835003018379213","","","","","","","0.8247225880622864","0.7285982370376587","0.9500650763511658","","","","","","","0.8684467077255249","0.7809999585151672","0.9779448509216307","0.7482741475105286","0.6257214546203613","0.9305251836776732","","","","","","","0","0","0","","","0.7486170517460051","3.3090562850702554","1.0251693266473068","0.015622878737630422","","","0.6364346170718848","0.13821309988115557","","","0.9088103448275862","0.132376389154293","6.8781245605717505","0.7486170517460051","0.6364346170718848","0.9088103448275862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"driven-dragon-609","0.7930129855177349","Chemical","remove_surfaceforms_randomly","0.1","0.01","500","40","10","8","5","10305","finished","-","possible961","","2023-03-22T10:56:36.000Z","","0.9","0.98","1e-8","","false","","pubmedbert-uncased","data/Chemical","self","dev_BIOUL.txt","16201","cuda:1","false","false","false","false","true","0.05","false","true","seqeval","0","false","O1","1","1","_","O","B-Chemical","I-Chemical","U-Chemical","L-Chemical","labels/Chemical.txt","0.00005","false","false","-1","100","1","128","pubmedbert-uncased","bert","0","0.99","0.995","exponential","10","kl","1","logits","300","1","1","false","false","20","output/Chemical/remove_surfaceforms_randomly/0.1/begin500_period1000_epoch20.0_LR5e-05_seed40","true","360","360","BOND_coca_partial14","false","1","10000","0","-1","-1","hard","1000","0","","","false","sweep/sweep.json","None","0","test_BIOUL.txt","49766","","train_BIOUL.txt","99037","false","update_all","0","1","0.001","1","logits","1","data/Chemical/pubmedbert-entity.vocab","0","0","false","false","false","","","","0.7876824165731198","0.7091928148114117","0.8857077284984796","7.829550426257397","0.7622614332012962","0.6553289853876001","0.910895633713925","3","0.00004003623188405797","1.2846512765359694","5.587497784451929","0.7144508327899947","0.8909873782640031","1.4726190961373224","0.8174402713775635","0.7209349870681763","0.9437751173973083","","","","","","","0.8966178297996521","0.8237156271934509","0.983677327632904","","","","","","","0.8083013892173767","0.708651065826416","0.9405632019042968","","","","","","","0.855972170829773","0.7617836594581604","0.9767381548881532","0.7080119252204895","0.5939890146255493","0.8762105107307434","","","","","","","0","0","0","","","0.7127816091953535","3.570872093895648","1.1252285422937756","0.028717863079602012","","","0.6158643771538668","0.14444618682564403","","","0.8458988664420467","0.13055805874388285","7.829550426257397","0.7127816091953535","0.6158643771538668","0.8458988664420467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
