"Name","entity_name","entity_removal_rate","number_of_removal_annotations","number_of_removal_surfaceforms","entity_removal_method","current_iteration","iteration_time","test_f1","per_gpu_train_batch_size","best_dev_f1","State","Notes","User","Tags","Created","Runtime","Sweep","adam_epsilon","cache_dir","cache_dir_name","config_name","data_dir","dev_file","dev_instances","device","do_eval","do_lower_case","do_predict","do_remove_entity","do_train","eval_all_checkpoints","eval_batch_size","evaluate_during_training","fp16","fp16_opt_level","gradient_accumulation_steps","integration_method","label_index","labels","learning_rate","lexicon","lexicon_embeds_size","load_big_file","local_rank","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","model_type","n_gpu","no_cuda","not_use_best_model","num_train_epochs","number_of_annotations","output_dir","overwrite_cache","overwrite_output_dir","per_gpu_eval_batch_size","pos","pos_embeds_size","project_name","removal_rate","save_steps","seed","separator","server_ip","server_port","sweep_file","sweep_method","sweep_round","test_file","test_instances","tokenizer_name","train_file","train_instances","visible_device","warmup_steps","weight_decay","whether_integrate_lexicon","whether_integrate_pos","write_examples_to_file","best_dev_precision","best_dev_recall","dev_f1","dev_precision","dev_recall","epoch","eval_loss","loss","lr","test_precision","test_recall","train instances","removal_method","train_batch_size"
"pious-bush-517","Chemical","0.1","11458","6266","remove_annotations_randomly","3","4","0.8650546673974231","48","0.8587538281004037","finished","-","possible961","","2022-10-16T18:42:19.000Z","43651","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Chemical/BIOES","dev_BIOES.txt","16201","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Chemical/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","5000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","114579","outputs/English_Medical_NER/Chemical/pubmedbert/remove_annotations_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","49766","","train_BIOES.txt","99037","0","0","0","false","false","false","0.8567675613934894","0.86074932583625","0.8506512470066","0.8662344614286563","0.8356187962591084","19","0.12950861115647844","3.708143049152568e-9","0","0.8697000261496507","0.8604586698205606","99037","None","48"
"spring-morning-434","Gene","0.1","8280","5420","remove_annotations_randomly","1","4","0.7711632351056269","48","0.7605804927438408","finished","-","possible961","","2022-10-15T18:33:17.000Z","35420","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Gene/BIOES","dev_BIOES.txt","12620","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Gene/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","82803","outputs/English_Medical_NER/Gene/pubmedbert/remove_annotations_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","36662","","train_BIOES.txt","74905","0","0","0","false","false","false","0.7389337005705292","0.7835338293581809","0.7491358024691358","0.7601832629393658","0.7384048397190738","19","0.26593147219282437","2.5318205007351936e-7","0","0.7580985108820161","0.7846861587346755","74905","None","48"
"toasty-galaxy-476","Gene","0.1","8280","5384","remove_annotations_randomly","2","4","0.7726113625399159","48","0.7640666666666666","finished","-","possible961","","2022-10-16T04:23:39.000Z","35258","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Gene/BIOES","dev_BIOES.txt","12620","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Gene/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","82803","outputs/English_Medical_NER/Gene/pubmedbert/remove_annotations_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","36662","","train_BIOES.txt","74905","0","0","0","false","false","false","0.7337857737371151","0.7969543147208121","0.7479481716900082","0.7513331462250912","0.7445935609484737","19","0.275745204572022","0.0000022673418279737233","0","0.7492369728429167","0.7974911669156529","74905","None","48"
"wild-wildflower-346","Species","0.1","665","3","remove_surfaceforms_randomly","3","5","0.6778162245290272","48","0.74983922829582","finished","-","possible961","","2022-10-15T12:52:37.000Z","6854","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Species/BIOES","dev_BIOES.txt","2555","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Species/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","5290","outputs/English_Medical_NER/Species/pubmedbert/remove_surfaceforms_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","7431","","train_BIOES.txt","15195","0","0","0","false","false","false","0.7836021505376344","0.718865598027127","0.7482108002602472","0.7920110192837465","0.7090012330456227","19","0.0938252616228744","2.674848246897454e-9","0","0.7566523605150215","0.6138579387186629","15195","None","48"
"celestial-field-326","CellLine","0.1","255","35","remove_surfaceforms_randomly","3","5","0.6784249384741592","48","0.6923976608187135","finished","-","possible961","","2022-10-15T11:54:03.000Z","5736","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/CellLine/BIOES","dev_BIOES.txt","2001","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/CellLine/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","2500","outputs/English_Medical_NER/CellLine/pubmedbert/remove_surfaceforms_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","6146","","train_BIOES.txt","12592","0","0","0","false","false","false","0.7308641975308642","0.6577777777777778","0.6839622641509435","0.7286432160804021","0.6444444444444445","19","0.123135879901903","2.1654707325069467e-9","0","0.6932103939647947","0.6642570281124498","12592","None","48"
"peachy-water-86","Chemical","0.1","11457","248","remove_surfaceforms_randomly","0","4","0.8321895723649383","48","0.830923017774229","finished","-","possible961","","2022-10-15T06:55:29.000Z","44500","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Chemical/BIOES","dev_BIOES.txt","16201","cuda","false","true","false","true","true","false","","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Chemical/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","5000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","114579","outputs/English_Medical_NER/Chemical/pubmedbert/remove_surfaceforms_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","49766","","train_BIOES.txt","99037","0","0","0","false","false","false","0.857421875","0.8060129668942567","0.830923017774229","0.857421875","0.8060129668942567","19","0.16330213900763174","5.304411388351582e-10","0","0.868371364293749","0.7989022970450723","99037","None",""
"logical-universe-41","Chemical","0.1","11446","270","remove_surfaceforms_randomly","0","5","0.8293259983073017","48","0.8259981649746944","finished","-","possible961","","2022-10-14T19:20:23.000Z","34301","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Chemical/BIOES","dev_BIOES.txt","16201","cuda","false","true","false","true","true","false","","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Chemical/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","5000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","114579","outputs/English_Medical_NER/Chemical/pubmedbert/remove_surfaceforms_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","49766","","train_BIOES.txt","99037","0","0","0","false","false","false","0.8530382687370094","0.800619656893683","0.8258535283125205","0.8548882338491771","0.7987262608296517","19","0.16085937084663196","1.0321319568902254e-7","0","0.8646691935904378","0.79675863470885","99037","None",""
"fanciful-wood-369","Disease","0.1","1423","915","remove_annotations_randomly","3","5","0.8426819723454213","48","0.8302752293577982","finished","-","possible961","","2022-10-15T13:20:44.000Z","7517","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Disease/BIOES","dev_BIOES.txt","2754","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Disease/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","14227","outputs/English_Medical_NER/Disease/pubmedbert/remove_annotations_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","8738","","train_BIOES.txt","16895","0","0","0","false","false","false","0.8093495934959349","0.8523116438356164","0.8218702538511607","0.8332600087989441","0.8107876712328768","19","0.1712211265132345","5.4607939091511076e-8","0","0.8246106714322186","0.8615630834889304","16895","None","48"
"pretty-microwave-295","Species","0.1","529","296","remove_annotations_randomly","2","5","0.7633615260032391","48","0.8294190358467245","finished","-","possible961","","2022-10-15T10:52:38.000Z","6787","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Species/BIOES","dev_BIOES.txt","2555","cuda","false","true","false","true","true","false","96","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Species/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","5290","outputs/English_Medical_NER/Species/pubmedbert/remove_annotations_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","7431","","train_BIOES.txt","15195","0","0","0","false","false","false","0.8314745972738538","0.8273736128236745","0.8212974296205631","0.8153098420413123","0.8273736128236745","19","0.06425765407278437","6.034080797689967e-9","0","0.7899441340782123","0.7385097493036211","15195","None","48"
"vocal-sun-152","Disease","0.1","1412","69","remove_surfaceforms_randomly","0","5","0.8116001645413411","48","0.8041101880192392","finished","-","possible961","","2022-10-15T07:03:37.000Z","7718","","1e-8","","pubmedbert-base-uncased","","/project/dinglia/NER/ner_incomplete_annotation/data/Disease/BIOES","dev_BIOES.txt","2754","cuda","false","true","false","true","true","false","","true","false","O1","1","None","1","/project/dinglia/NER/ner_incomplete_annotation/labels/English_Medical_NER/Disease/BIOES_labels.txt","0.00005","lexicon_map.txt","20","false","-1","1000","1","128","-1","pubmedbert-uncased","bert","1","false","false","20","14227","outputs/English_Medical_NER/Disease/pubmedbert/remove_surfaceforms_randomly/0.1","false","true","96","pos_label.txt","20","pubmedbert_partial_medical_NER1","0","10000","42","	","","","sweep/species.json","None","0","test_BIOES.txt","8738","","train_BIOES.txt","16895","0","0","0","false","false","false","0.82171581769437","0.7872431506849316","0.8041101880192392","0.82171581769437","0.7872431506849316","19","0.18013922424744006","1.0827748337760569e-7","0","0.8350733634311512","0.7894105094691918","16895","None",""
